date,revenue,expenses,cash_flow
2022-03-31 22:25:07.393176,1009934.2830602246,803132.9539250713,206801.32913515333
2022-04-30 22:25:07.393176,1029089.1694663578,790374.2268193428,238714.94264701498
2022-05-31 22:25:07.393176,1074422.1356304279,817823.3297326836,256598.80589774426
2022-06-30 22:25:07.393176,1117347.5165781402,855319.5969551635,262027.91962297668
2022-07-31 22:25:07.393176,1102007.2777367872,873572.1320277915,228435.14570899575
2022-08-31 22:25:07.393176,1115492.227898679,870139.069276551,245353.15862212796
2022-09-30 22:25:07.393176,1159027.2047104987,865933.9201987428,293093.2845117559
2022-10-31 22:25:07.393176,1144737.9571976818,858994.8546578597,285743.1025398221
2022-11-30 22:25:07.393176,1118198.0688453491,834177.9296814413,284020.13916390785
2022-12-31 22:25:07.393176,1134940.6639979763,837045.3359465136,297895.32805146277
2023-01-31 22:25:07.393176,1111894.602045016,832877.9260137579,279016.67603125796
2023-02-28 22:25:07.393176,1111688.5188800825,849802.1816973309,261886.33718275162
2023-03-31 22:25:07.393176,1130291.4282323197,836944.5920128975,293346.83621942217
2023-04-30 22:25:07.393176,1097499.027494064,807880.3892936207,289618.63820044335
2023-05-31 22:25:07.393176,1117948.8175349815,846818.9988891158,271129.8186458658
2023-06-30 22:25:07.393176,1163948.3895774935,848664.7922093198,315283.59736817377
2023-07-31 22:25:07.393176,1182669.8422944448,860758.7703277458,321911.071966699
2023-08-31 22:25:07.393176,1240214.2447691166,899175.7256835246,341038.519085592
2023-09-30 22:25:07.393176,1247910.2203723649,925464.4114865275,322445.8088858373
2023-10-31 22:25:07.393176,1268827.4612721608,943056.6014544079,325770.85981775285
2023-11-30 22:25:07.393176,1354118.8352161183,932970.7107360959,421148.12448002235
2023-12-31 22:25:07.393176,1343037.299805027,953404.0750140379,389633.2247909891
2024-01-31 22:25:07.393176,1365585.9317065387,970642.9598469917,394942.97185954696
2024-02-29 22:25:07.393176,1346052.853474732,982842.859237465,363209.99423726706
2024-03-31 22:25:07.393176,1368109.2315580086,958867.0381282736,409242.193429735
2024-04-30 22:25:07.393176,1381055.4958929324,957427.6077718879,423627.8881210445
2024-05-31 22:25:07.393176,1352890.6653252968,935561.9763174755,417328.68900782126
2024-06-30 22:25:07.393176,1379926.4038028652,925701.1411018373,454225.2627010279
2024-07-31 22:25:07.393176,1358597.9635870003,948676.4772442142,409921.4863427861
2024-08-31 22:25:07.393176,1366723.1766037836,952674.955993996,414048.2206097876
2024-09-30 22:25:07.393176,1367790.9007177495,931351.3031175935,436439.597600156
2024-10-31 22:25:07.393176,1430355.218458925,952557.8601405201,477797.35831840476
2024-11-30 22:25:07.393176,1412843.1360552616,953057.8619585879,459785.2740966737
2024-12-31 22:25:07.393176,1417377.4165524677,952577.0832147632,464800.33333770453
2025-01-31 22:25:07.393176,1484596.4427522824,985651.6554050868,498944.78734719555
2025-02-28 22:25:07.393176,1475583.1270005796,1023070.5484969895,452512.5785035901
